"ANO","MES","ANO_MES","TPM"
2022,7,"Jul 2022",7.25
2022,8,"Aug 2022",7.75
2022,9,"Sep 2022",8
2022,10,"Oct 2022",8.25
2022,11,"Nov 2022",8.5
2022,12,"Dec 2022",8.5
2023,1,"Jan 2023",8.5
2023,2,"Feb 2023",8.5
2023,3,"Mar 2023",8.5
2023,4,"Apr 2023",8.5
2023,5,"May 2023",8.5
2023,6,"Jun 2023",8
2023,7,"Jul 2023",7.75
2023,8,"Aug 2023",7.75
2023,9,"Sep 2023",7.5
2023,10,"Oct 2023",7.5
2023,11,"Nov 2023",7.25
2023,12,"Dec 2023",7
2024,1,"Jan 2024",7
2024,2,"Feb 2024",7
2024,3,"Mar 2024",7
2024,4,"Apr 2024",7
2024,5,"May 2024",7
2024,6,"Jun 2024",7
2024,7,"Jul 2024",7
2024,8,"Aug 2024",7
2024,9,"Sep 2024",6.75
2024,10,"Oct 2024",6.5
2024,11,"Nov 2024",6.25
2024,12,"Dec 2024",6
2025,1,"Jan 2025",5.75
2025,2,"Feb 2025",5.75
2025,3,"Mar 2025",5.75
2025,4,"Apr 2025",5.75
